BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
SMAL,2024-01-03,Сбербанк,SBER,16,7690.83,274.97,271.97,277.0,,273.55,277.0,28,,,,0.0,0.0,,0,3,SUR,1.68
TQBR,2024-01-03,Сбербанк,SBER,50912,5631304882.5,271.9,271.0,274.7,273.64,273.55,274.56,20586020,273.48,273.48,,4994800046.8,4994800046.8,,0,3,SUR,1.38
SMAL,2024-01-04,Сбербанк,SBER,11,5202.63,276.99,270.0,276.99,,274.37,275.49,19,,,,0.0,0.0,,0,3,SUR,-0.55
TQBR,2024-01-04,Сбербанк,SBER,33045,3218187919.1,274.67,273.7,275.48,274.04,274.37,274.12,11729380,274.42,274.42,,2822724226.4,2822724226.4,,0,3,SUR,-0.16
SMAL,2024-01-05,Сбербанк,SBER,6,2725.17,274.69,271.95,274.69,,273.46,271.95,10,,,,0.0,0.0,,0,3,SUR,-1.28
TQBR,2024-01-05,Сбербанк,SBER,26234,2634959748.5,274.3,272.8,274.69,273.46,273.46,273.62,9635550,273.46,273.46,,2246292920.8,2246292920.8,,0,3,SUR,-0.18
SMAL,2024-01-08,Сбербанк,SBER,4,4953.21,275.85,274.17,276.0,,275.7,274.17,18,,,,0.0,0.0,,0,3,SUR,0.82
TQBR,2024-01-08,Сбербанк,SBER,70828,5924626062.4,273.6,273.53,277.0,275.81,275.7,276.76,21489440,275.61,275.61,,5204970401.3,5204970401.3,,0,3,SUR,1.15
SMAL,2024-01-09,Сбербанк,SBER,42,41171.88,273.02,273.02,278.99,,275.7,274.6,150,,,,0.0,0.0,,0,3,SUR,0.16
TQBR,2024-01-09,Сбербанк,SBER,40508,5601231460.4,276.97,274.71,278.0,276.0,275.7,275.28,20316030,275.71,275.71,,4962469596.0,4962469596.0,,0,3,SUR,-0.53
SMAL,2024-01-10,Сбербанк,SBER,42,33544.36,275.5,273.95,276.99,,275.39,274.5,122,,,,0.0,0.0,,0,3,SUR,-0.04
TQBR,2024-01-10,Сбербанк,SBER,45305,5689654961.5,275.3,273.64,276.16,275.68,275.39,274.49,20660410,275.6,275.6,,4475122816.2,4475122816.2,,0,3,SUR,-0.29
SMAL,2024-01-11,Сбербанк,SBER,16,15932.08,274.34,274.13,279.93,,274.84,274.13,58,,,,0.0,0.0,,0,3,SUR,-0.13
TQBR,2024-01-11,Сбербанк,SBER,39228,5370898109.7,274.78,274.01,275.97,275.9,274.84,275.71,19526030,274.98,274.98,,4739385878.1,4739385878.1,,0,3,SUR,0.44
SMAL,2024-01-12,Сбербанк,SBER,21,17614.57,277.5,274.55,277.5,,276.08,274.64,64,,,,0.0,0.0,,0,3,SUR,0.19
TQBR,2024-01-12,Сбербанк,SBER,40571,4882061544.1,276.0,274.77,276.96,275.4,276.08,275.84,17702040,275.81,275.81,,4226761973.6,4226761973.6,,0,3,SUR,0.05
SMAL,2024-01-15,Сбербанк,SBER,24,26473.94,281.31,272.91,281.31,,276.25,275.01,96,,,,0.0,0.0,,0,3,SUR,0.13
TQBR,2024-01-15,Сбербанк,SBER,50619,5915980754.2,276.45,275.21,277.73,276.1,276.25,275.96,21397690,276.52,276.52,,5426576195.4,5426576195.4,,0,3,SUR,0.04
SMAL,2024-01-16,Сбербанк,SBER,22,19790.06,272.97,272.96,280.0,,275.71,275.99,72,,,,0.0,0.0,,0,3,SUR,0.36
TQBR,2024-01-16,Сбербанк,SBER,48118,4434943891.0,276.22,274.1,276.45,275.7,275.71,276.01,16110240,275.17,275.17,,3871966955.5,3871966955.5,,0,3,SUR,0.02
SMAL,2024-01-17,Сбербанк,SBER,31,26611.94,276.05,275.36,279.95,,278.01,277.04,96,,,,0.0,0.0,,0,3,SUR,0.38
TQBR,2024-01-17,Сбербанк,SBER,84334,9523371870.2,276.02,275.75,279.17,277.7,278.01,278.0,34256680,278.0,278.0,,8889242643.0,8889242643.0,,0,3,SUR,0.72
SMAL,2024-01-18,Сбербанк,SBER,34,27461.57,275.8,275.8,279.99,,277.66,278.46,99,,,,0.0,0.0,,0,3,SUR,0.51
TQBR,2024-01-18,Сбербанк,SBER,56847,4914788384.0,278.24,276.76,278.87,277.78,277.66,277.07,17701680,277.78,277.78,,4044000232.1,4044000232.1,,0,3,SUR,-0.33
SMAL,2024-01-19,Сбербанк,SBER,29,20932.82,277.64,273.46,277.64,,275.15,276.49,76,,,,0.0,0.0,,0,3,SUR,-0.71
TQBR,2024-01-19,Сбербанк,SBER,77733,7719165768.4,277.39,273.55,277.47,275.29,275.15,274.86,28052580,275.2,275.2,,7010989161.9,7010989161.9,,0,3,SUR,-0.8
SMAL,2024-01-22,Сбербанк,SBER,21,13218.18,280.0,269.92,284.83,,275.03,275.5,48,,,,0.0,0.0,,0,3,SUR,-0.36
TQBR,2024-01-22,Сбербанк,SBER,54025,4149254623.1,274.86,273.85,275.9,275.01,275.03,274.93,15086860,275.03,275.03,,3608368099.4,3608368099.4,,0,3,SUR,0.03
SMAL,2024-01-23,Сбербанк,SBER,12,10773.5,283.61,275.01,283.62,,276.32,276.31,39,,,,0.0,0.0,,0,3,SUR,0.29
TQBR,2024-01-23,Сбербанк,SBER,45781,5551653286.2,274.7,274.31,277.26,276.0,276.32,275.9,20092540,276.34,276.34,,5044814697.1,5044814697.1,,0,3,SUR,0.35
SMAL,2024-01-24,Сбербанк,SBER,27,27170.5,276.31,272.12,276.31,,274.57,275.0,99,,,,0.0,0.0,,0,3,SUR,-0.47
TQBR,2024-01-24,Сбербанк,SBER,49407,5547156811.6,275.9,273.7,276.44,274.1,274.57,273.77,20203730,274.62,274.62,,4926686253.4,4926686253.4,,0,3,SUR,-0.77
SMAL,2024-01-25,Сбербанк,SBER,19,15001.35,274.97,271.88,274.99,,272.55,274.07,55,,,,0.0,0.0,,0,3,SUR,-0.34
TQBR,2024-01-25,Сбербанк,SBER,55026,6660096921.1,274.0,271.55,274.18,272.96,272.55,272.81,24436130,272.55,272.55,,6078858118.4,6078858118.4,,0,3,SUR,-0.35
SMAL,2024-01-26,Сбербанк,SBER,23,18504.21,274.52,271.19,274.52,,273.08,274.5,68,,,,0.0,0.0,,0,3,SUR,0.16
